canonical_common_name,scientific_name,family_sci,family_common,order,regions,alpha_4,aliases,is_model_species
Puerto Rican Amazon,Amazona vittata,Psittacidae,Parrot sp.,Psittaciformes,NA,PRAM,,0
Puerto Rican Bullfinch,Melopyrrha portoricensis,Thraupidae,Tanagers & Allies,Passeriformes,NA,PRBU,,0
Puerto Rican Emerald,Riccordia maugaeus,Trochilidae,Hummingbird sp.,Apodiformes,NA,PREM,,0
Puerto Rican Euphonia,Chlorophonia sclateri,Fringillidae,Finch sp.,Passeriformes,NA,PREU,,0
Puerto Rican Flycatcher,Myiarchus antillarum,Tyrannidae,Flycatcher sp.,Passeriformes,NA,PRFL,,0
Puerto Rican Lizard Cuckoo,Coccyzus vieilloti,Cuculidae,Cuckoo/Roadrunner sp.,Cuculiformes,NA,PRLC,,0
Puerto Rican Mango,Anthracothorax aurulentus,Trochilidae,Hummingbird sp.,Apodiformes,NA,PRMA,,0
Puerto Rican Nightjar,Antrostomus noctitherus,Caprimulgidae,Nightjar sp.,Caprimulgiformes,NA,PRNI,,0
Puerto Rican Oriole,Icterus portoricensis,Icteridae,Blackbird/Oriole sp.,Passeriformes,NA,PROR,,0
Puerto Rican Owl,Gymnasio nudipes,Strigidae,Owl sp.,Strigiformes,NA,PRIO,,0
Puerto Rican Parakeet,Psittacara maugei †,Psittacidae,Parrot sp.,Psittaciformes,NA,PRPA,,0
Puerto Rican Spindalis,Spindalis portoricensis,Spindalidae,Spindalises,Passeriformes,NA,PRSP,,0
Puerto Rican Tanager,Nesospingus speculiferus,Nesospingidae,Puerto Rican Tanager,Passeriformes,NA,PRTA,,0
Puerto Rican Tody,Todus mexicanus,Todidae,Todies,Coraciiformes,NA,PRTO,,0
Puerto Rican Vireo,Vireo latimeri,Vireonidae,Vireo sp.,Passeriformes,NA,PRVI,,0
Puerto Rican Woodpecker,Melanerpes portoricensis,Picidae,Woodpecker sp.,Piciformes,NA,PRWO,,0
Puff-backed Bulbul,Euptilotus eutilotus,Pycnonotidae,Bulbuls,Passeriformes,OR,,,0
Puff-backed Honeyeater,Meliphaga aruensis,Meliphagidae,Honeyeaters,Passeriformes,AU,,,0
Puff-throated Babbler,Pellorneum ruficeps,Pellorneidae,Ground Babblers,Passeriformes,OR,,,0
Puff-throated Bulbul,Alophoixus pallidus,Pycnonotidae,Bulbuls,Passeriformes,OR,,,0
Pulitzer's Longbill,Macrosphenus pulitzeri,Macrosphenidae,"Crombecs, African Warblers",Passeriformes,AF,,,0
Puna Ground Tyrant,Muscisaxicola juninensis,Tyrannidae,Flycatcher sp.,Passeriformes,SA,,,0
Puna Ibis,Plegadis ridgwayi,Threskiornithidae,Ibis/Spoonbill sp.,Pelecaniformes,SA,,,0
Puna Miner,Geositta punensis,Furnariidae,Ovenbirds,Passeriformes,SA,,,0
Puna Pipit,Anthus brevirostris,Motacillidae,Pipit/Wagtail sp.,Passeriformes,SA,,,0
Puna Plover,Anarhynchus alticola,Charadriidae,Plover sp.,Charadriiformes,SA,,,0
Puna Snipe,Gallinago andina,Scolopacidae,Sandpiper sp.,Charadriiformes,SA,,,0
Puna Tapaculo,Scytalopus simonsi,Rhinocryptidae,Tapaculos,Passeriformes,SA,,,0
Puna Teal,Spatula puna,Anatidae,Waterfowl sp.,Anseriformes,SA,,,0
Puna Thistletail,Asthenes helleri,Furnariidae,Ovenbirds,Passeriformes,SA,,,0
Puna Tinamou,Tinamotis pentlandii,Tinamidae,Tinamous,Tinamiformes,SA,,,0
Puna Yellow Finch,Sicalis lutea,Thraupidae,Tanagers & Allies,Passeriformes,SA,,,0
Puno Antpitta,Grallaria sinaensis,Grallariidae,Antpittas,Passeriformes,SA,,,0
Purple Cochoa,Cochoa purpurea,Turdidae,Thrush sp.,Passeriformes,OR,,,0
Purple Finch,Haemorhous purpureus,Fringillidae,Finch sp.,Passeriformes,NA,PUFI,,1
Purple Gallinule,Porphyrio martinica,Rallidae,Rail/Gallinule/Coot sp.,Gruiformes,"NA,MA,SA",PUGA,,1
Purple Grenadier,Granatina ianthinogaster,Estrildidae,Scaly-breasted Munia,Passeriformes,AF,,,0
Purple Heron,Ardea purpurea,Ardeidae,Heron/Egret/Bittern sp.,Pelecaniformes,"PAL,OR,AF",PUHE,,0
Purple Honeycreeper,Cyanerpes caeruleus,Thraupidae,Tanagers & Allies,Passeriformes,"MA,SA",PUHO,,0
Purple Indigobird,Vidua purpurascens,Viduidae,"Indigobirds, Whydahs",Passeriformes,AF,,,0
Purple Martin,Progne subis,Hirundinidae,Swallow sp.,Passeriformes,"NA,MA",PUMA,,1
Purple Needletail,Hirundapus celebensis,Apodidae,Swift sp.,Apodiformes,"OR,AU",,,0
Purple Quail-Dove,Geotrygon purpurata,Columbidae,Pigeon/Dove sp.,Columbiformes,SA,,,0
Purple Roller,Coracias naevius,Coraciidae,Rollers,Coraciiformes,AF,,,0
Purple Sandpiper,Calidris maritima,Scolopacidae,Sandpiper sp.,Charadriiformes,"NA,PAL",PUSA,,1
Purple Starling,Lamprotornis purpureus,Sturnidae,Starling/Myna sp.,Passeriformes,AF,,,0
Purple Sunbird,Cinnyris asiaticus,Nectariniidae,Sunbirds,Passeriformes,"PAL,OR",,,0
Purple-backed Fairywren,Malurus assimilis,Maluridae,Australasian Wrens,Passeriformes,AU,,,0
Purple-backed Sunbeam,Aglaeactis aliciae,Trochilidae,Hummingbird sp.,Apodiformes,SA,,,0
Purple-backed Thornbill,Ramphomicron microrhynchum,Trochilidae,Hummingbird sp.,Apodiformes,SA,,,0
Purple-banded Sunbird,Cinnyris bifasciatus,Nectariniidae,Sunbirds,Passeriformes,AF,,,0
Purple-bearded Bee-eater,Meropogon forsteni,Meropidae,Bee-eaters,Coraciiformes,AU,,,0
Purple-bellied Lory,Lorius hypoinochrous,Psittaculidae,Old World Parrots,Psittaciformes,AU,,,0
Purple-bibbed Whitetip,Urosticte benjamini,Trochilidae,Hummingbird sp.,Apodiformes,SA,,,0
Purple-breasted Cotinga,Cotinga cotinga,Cotingidae,Cotingas,Passeriformes,SA,,,0
Purple-breasted Sunbird,Nectarinia purpureiventris,Nectariniidae,Sunbirds,Passeriformes,AF,,,0
Purple-capped Fruit Dove,Ptilinopus ponapensis,Columbidae,Pigeon/Dove sp.,Columbiformes,PO,,,0
Purple-chested Hummingbird,Polyerata rosenbergi,Trochilidae,Hummingbird sp.,Apodiformes,SA,,,0
Purple-collared Woodstar,Myrtis fanny,Trochilidae,Hummingbird sp.,Apodiformes,SA,,,0
Purple-crested Turaco,Gallirex porphyreolophus,Musophagidae,Turacos,Musophagiformes,AF,,,0
Purple-crowned Fairy,Heliothryx barroti,Trochilidae,Hummingbird sp.,Apodiformes,"MA,SA",PCFA,,0
Purple-crowned Fairywren,Malurus coronatus,Maluridae,Australasian Wrens,Passeriformes,AU,,,0
Purple-crowned Lorikeet,Parvipsitta porphyrocephala,Psittaculidae,Old World Parrots,Psittaciformes,AU,,,0
Purple-crowned Plovercrest,Stephanoxis loddigesii,Trochilidae,Hummingbird sp.,Apodiformes,SA,,,0
Purple-gaped Honeyeater,Lichenostomus cratitius,Meliphagidae,Honeyeaters,Passeriformes,AU,,,0
Purple-headed Starling,Hylopsar purpureiceps,Sturnidae,Starling/Myna sp.,Passeriformes,AF,,,0
Purple-naped Lory,Lorius domicella,Psittaculidae,Old World Parrots,Psittaciformes,AU,,,0
Purple-naped Spiderhunter,Kurochkinegramma hypogrammicum,Nectariniidae,Sunbirds,Passeriformes,OR,,,0
Purple-rumped Sunbird,Leptocoma zeylonica,Nectariniidae,Sunbirds,Passeriformes,OR,,,0
Purple-tailed Imperial Pigeon,Ducula rufigaster,Columbidae,Pigeon/Dove sp.,Columbiformes,AU,,,0
Purple-throated Carib,Eulampis jugularis,Trochilidae,Hummingbird sp.,Apodiformes,NA,PTCA,,0
Purple-throated Cotinga,Porphyrolaema porphyrolaema,Cotingidae,Cotingas,Passeriformes,SA,,,0
Purple-throated Cuckooshrike,Campephaga quiscalina,Campephagidae,Cuckooshrikes,Passeriformes,AF,,,0
Purple-throated Euphonia,Euphonia chlorotica,Fringillidae,Finch sp.,Passeriformes,SA,,,0
Purple-throated Fruitcrow,Querula purpurata,Cotingidae,Cotingas,Passeriformes,"MA,SA",PTFR,,0
Purple-throated Mountaingem,Lampornis calolaemus,Trochilidae,Hummingbird sp.,Apodiformes,MA,PTMG,,0
Purple-throated Sunangel,Heliangelus viola,Trochilidae,Hummingbird sp.,Apodiformes,SA,,,0
Purple-throated Sunbird,Leptocoma sperata,Nectariniidae,Sunbirds,Passeriformes,OR,,,0
Purple-throated Woodstar,Philodice mitchellii,Trochilidae,Hummingbird sp.,Apodiformes,"MA,SA",PTWO,,0
Purple-winged Ground Dove,Paraclaravis geoffroyi,Columbidae,Pigeon/Dove sp.,Columbiformes,SA,,,0
Purple-winged Roller,Coracias temminckii,Coraciidae,Rollers,Coraciiformes,AU,,,0
Purplish Jacamar,Galbula chalcothorax,Galbulidae,Jacamars,Piciformes,SA,,,0
Purplish Jay,Cyanocorax cyanomelas,Corvidae,Corvid sp.,Passeriformes,SA,,,0
Purplish-backed Jay,Cyanocorax beecheii,Corvidae,Corvid sp.,Passeriformes,MA,PBJA,,0
Purplish-backed Quail-Dove,Zentrygon lawrencii,Columbidae,Pigeon/Dove sp.,Columbiformes,MA,PBQD,,0
Purplish-mantled Tanager,Iridosornis porphyrocephalus,Thraupidae,Tanagers & Allies,Passeriformes,SA,,,0
Purus Jacamar,Galbalcyrhynchus purusianus,Galbulidae,Jacamars,Piciformes,SA,,,0
Puvel's Illadopsis,Illadopsis puveli,Pellorneidae,Ground Babblers,Passeriformes,AF,,,0
Pycroft's Petrel,Pterodroma pycrofti,Procellariidae,Shearwater/Petrel sp.,Procellariiformes,PO,,,0
Pygmy Antwren,Myrmotherula brachyura,Thamnophilidae,Antbirds,Passeriformes,SA,,,0
Pygmy Batis,Batis perkeo,Platysteiridae,"Wattle-eyes, Batises",Passeriformes,AF,,,0
Pygmy Bushtit,Aegithalos exilis,Aegithalidae,Bushtit sp.,Passeriformes,OR,,,0
Pygmy Cormorant,Microcarbo pygmaeus,Phalacrocoracidae,Cormorant sp.,Suliformes,PAL,,,0
Pygmy Cuckooshrike,Celebesica abbotti,Campephagidae,Cuckooshrikes,Passeriformes,AU,,,0
Pygmy Cupwing,Pnoepyga pusilla,Pnoepygidae,Cupwings,Passeriformes,OR,,,0
Pygmy Eagle,Hieraaetus weiskei,Accipitridae,Hawk/Eagle/Kite sp.,Accipitriformes,AU,,,0
Pygmy Falcon,Polihierax semitorquatus,Falconidae,Falcon/Caracara sp.,Falconiformes,AF,,,0
Pygmy Flowerpecker,Dicaeum pygmaeum,Dicaeidae,Flowerpeckers,Passeriformes,OR,,,0
Pygmy Flycatcher,Ficedula hodgsoni,Muscicapidae,"Chats, Old World Flycatchers",Passeriformes,OR,,,0
Pygmy Hanging Parrot,Loriculus exilis,Psittaculidae,Old World Parrots,Psittaciformes,AU,,,0
Pygmy Heleia,Heleia squamifrons,Zosteropidae,White-eyes,Passeriformes,OR,,,0
Pygmy Longbill,Oedistoma pygmaeum,Melanocharitidae,"Berrypeckers, Longbills",Passeriformes,AU,,,0
Pygmy Lorikeet,Charminetta wilhelminae,Psittaculidae,Old World Parrots,Psittaciformes,AU,,,0
Pygmy Nightjar,Nyctipolus hirundinaceus,Caprimulgidae,Nightjar sp.,Caprimulgiformes,SA,,,0
Pygmy Nuthatch,Sitta pygmaea,Sittidae,Nuthatch sp.,Passeriformes,"NA,MA",PYNU,,1
Pygmy Palm Swift,Tachornis furcata,Apodidae,Swift sp.,Apodiformes,SA,,,0
Pygmy Sunbird,Hedydipna platura,Nectariniidae,Sunbirds,Passeriformes,AF,,,0
Pygmy Swiftlet,Collocalia troglodytes,Apodidae,Swift sp.,Apodiformes,OR,,,0
Pyrrhuloxia,Cardinalis sinuatus,Cardinalidae,Cardinal/Grosbeak/Bunting sp.,Passeriformes,"NA,MA",PYRR,,1
Qilian Bluetail,Tarsiger albocoeruleus,Muscicapidae,"Chats, Old World Flycatchers",Passeriformes,PAL,,,0
Quail-plover,Ortyxelos meiffrenii,Turnicidae,Buttonquail,Charadriiformes,AF,,,0
Quailfinch,Ortygospiza atricollis,Estrildidae,Scaly-breasted Munia,Passeriformes,AF,,,0
Quailfinch Indigobird,Vidua nigeriae,Viduidae,"Indigobirds, Whydahs",Passeriformes,AF,,,0
Quebracho Crested Tinamou,Eudromia formosa,Tinamidae,Tinamous,Tinamiformes,SA,,,0
Queen Carola's Parotia,Parotia carolae,Paradisaeidae,Birds-of-paradise,Passeriformes,AU,,,0
Rachel's Malimbe,Malimbus racheliae,Ploceidae,"Weavers, Widowbirds",Passeriformes,AF,,,0
Racket-tailed Roller,Coracias spatulatus,Coraciidae,Rollers,Coraciiformes,AF,,,0
Racket-tailed Treepie,Crypsirina temia,Corvidae,Corvid sp.,Passeriformes,OR,,,0
Racket-tipped Thorntail,Discosura longicaudus,Trochilidae,Hummingbird sp.,Apodiformes,SA,,,0
Radde's Accentor,Prunella ocularis,Prunellidae,Accentors,Passeriformes,PAL,,,0
Radde's Warbler,Phylloscopus schwarzi,Phylloscopidae,Leaf Warblers,Passeriformes,PAL,,,0
Radjah Shelduck,Radjah radjah,Anatidae,Waterfowl sp.,Anseriformes,AU,,,0
Raffles's Malkoha,Rhinortha chlorophaea,Cuculidae,Cuckoo/Roadrunner sp.,Cuculiformes,OR,,,0
Raggiana Bird-of-paradise,Paradisaea raggiana,Paradisaeidae,Birds-of-paradise,Passeriformes,AU,,,0
Raiatea Fruit Dove,Ptilinopus chrysogaster,Columbidae,Pigeon/Dove sp.,Columbiformes,PO,,,0
Raiatea Parakeet,Cyanoramphus ulietanus †,Psittaculidae,Old World Parrots,Psittaciformes,PO,,,0
Rail-babbler,Eupetes macrocerus,Eupetidae,Rail-babbler,Passeriformes,OR,,,0
Raimondi's Yellow Finch,Sicalis raimondii,Thraupidae,Tanagers & Allies,Passeriformes,SA,,,0
Rain Quail,Coturnix coromandelica,Phasianidae,Grouse/Pheasant sp.,Galliformes,OR,,,0
Rainbow Bee-eater,Merops ornatus,Meropidae,Bee-eaters,Coraciiformes,AU,,,0
Rainbow Lorikeet,Trichoglossus moluccanus,Psittaculidae,Old World Parrots,Psittaciformes,AU,,,0
Rainbow Pitta,Pitta iris,Pittidae,Pittas,Passeriformes,AU,,,0
Rainbow Starfrontlet,Coeligena iris,Trochilidae,Hummingbird sp.,Apodiformes,SA,,,0
Rainbow-bearded Thornbill,Chalcostigma herrani,Trochilidae,Hummingbird sp.,Apodiformes,SA,,,0
Rainforest Scops Owl,Otus rutilus,Strigidae,Owl sp.,Strigiformes,AF,,,0
Raja Ampat Pitohui,Pitohui cerviniventris,Oriolidae,"Figbirds, Old World Orioles, Piopios",Passeriformes,AU,,,0
Rajah Scops Owl,Otus brookii,Strigidae,Owl sp.,Strigiformes,OR,,,0
Rand's Warbler,Randia pseudozosterops,Bernieridae,Tetrakas & Allies,Passeriformes,AF,,,0
Ranongga White-eye,Zosterops splendidus,Zosteropidae,White-eyes,Passeriformes,AU,,,0
Rapa Fruit Dove,Ptilinopus huttoni,Columbidae,Pigeon/Dove sp.,Columbiformes,PO,,,0
Rapa Shearwater,Puffinus myrtae,Procellariidae,Shearwater/Petrel sp.,Procellariiformes,PO,,,0
Rarotonga Monarch,Pomarea dimidiata,Monarchidae,Monarchs,Passeriformes,PO,,,0
Rarotonga Starling,Aplonis cinerascens,Sturnidae,Starling/Myna sp.,Passeriformes,PO,,,0
Raso Lark,Alauda razae,Alaudidae,Horned Lark,Passeriformes,AF,,,0
Ratchet-tailed Treepie,Temnurus temnurus,Corvidae,Corvid sp.,Passeriformes,OR,,,0
Rattling Cisticola,Cisticola chiniana,Cisticolidae,Cisticolas & Allies,Passeriformes,AF,,,0
Razor-billed Curassow,Mitu tuberosum,Cracidae,"Chachalacas, Curassows, Guans",Galliformes,SA,,,0
Razorbill,Alca torda,Alcidae,Auk/Murre/Puffin sp.,Charadriiformes,"NA,PAL",RAZO,,1
Recurve-billed Bushbird,Clytoctantes alixii,Thamnophilidae,Antbirds,Passeriformes,SA,,,0
Red Avadavat,Amandava amandava,Estrildidae,Scaly-breasted Munia,Passeriformes,OR,REAV,,0
Red Bird-of-paradise,Paradisaea rubra,Paradisaeidae,Birds-of-paradise,Passeriformes,AU,,,0
Red Collared Dove,Streptopelia tranquebarica,Columbidae,Pigeon/Dove sp.,Columbiformes,OR,,,0
Red Crossbill,Loxia curvirostra,Fringillidae,Finch sp.,Passeriformes,"PAL,OR,NA,MA",RECR,,1
Red Fody,Foudia madagascariensis,Ploceidae,"Weavers, Widowbirds",Passeriformes,AF,,,0
Red Goshawk,Erythrotriorchis radiatus,Accipitridae,Hawk/Eagle/Kite sp.,Accipitriformes,AU,,,0
Red Grouse,Lagopus scotica,Phasianidae,Grouse/Pheasant sp.,Galliformes,PAL,,,0
Red Junglefowl,Gallus gallus,Phasianidae,Grouse/Pheasant sp.,Galliformes,OR,REJU,,0
Red Kite,Milvus milvus,Accipitridae,Hawk/Eagle/Kite sp.,Accipitriformes,PAL,,,0
Red Knot,Calidris canutus,Scolopacidae,Sandpiper sp.,Charadriiformes,"NA,PAL",REKN,,1
Red Lark,Calendulauda burra,Alaudidae,Horned Lark,Passeriformes,AF,,,0
Red Lory,Eos bornea,Psittaculidae,Old World Parrots,Psittaciformes,AU,,,0
Red Myzomela,Myzomela cruentata,Meliphagidae,Honeyeaters,Passeriformes,AU,,,0
Red Owl,Tyto soumagnei,Tytonidae,Barn Owl,Strigiformes,AF,,,0
Red Phalarope,Phalaropus fulicarius,Scolopacidae,Sandpiper sp.,Charadriiformes,"NA,PAL",REPH,,1
Red Pileated Finch,Coryphospingus cucullatus,Thraupidae,Tanagers & Allies,Passeriformes,SA,,,0
Red Rail,Aphanapteryx †† bonasia ††,Rallidae,Rail/Gallinule/Coot sp.,Gruiformes,IO,,,0
Red Sea Cliff Swallow,Petrochelidon perdita,Hirundinidae,Swallow sp.,Passeriformes,AF,,,0
Red Shoveler,Spatula platalea,Anatidae,Waterfowl sp.,Anseriformes,SA,,,0
Red Siskin,Spinus cucullatus,Fringillidae,Finch sp.,Passeriformes,SA,RESI,,0
Red Spurfowl,Galloperdix spadicea,Phasianidae,Grouse/Pheasant sp.,Galliformes,OR,,,0
Red Tanager,Piranga flava,Cardinalidae,Cardinal/Grosbeak/Bunting sp.,Passeriformes,SA,HETA,,0
Red Warbler,Cardellina rubra,Parulidae,Warbler sp.,Passeriformes,MA,REWA,,0
Red Wattlebird,Anthochaera carunculata,Meliphagidae,Honeyeaters,Passeriformes,AU,,,0
Red Weaver,Anaplectes jubaensis,Ploceidae,"Weavers, Widowbirds",Passeriformes,AF,,,0
Red-and-black Grosbeak,Periporphyrus erythromelas,Cardinalidae,Cardinal/Grosbeak/Bunting sp.,Passeriformes,SA,,,0
Red-and-black Thrush,Geokichla mendeni,Turdidae,Thrush sp.,Passeriformes,AU,,,0
Red-and-blue Lory,Eos histrio,Psittaculidae,Old World Parrots,Psittaciformes,AU,,,0
Red-and-green Macaw,Ara chloropterus,Psittacidae,Parrot sp.,Psittaciformes,SA,RAGM,,0
Red-and-white Antpitta,Grallaria erythroleuca,Grallariidae,Antpittas,Passeriformes,SA,,,0
Red-and-white Crake,Rufirallus leucopyrrhus,Rallidae,Rail/Gallinule/Coot sp.,Gruiformes,SA,,,0
Red-and-white Spinetail,Certhiaxis mustelinus,Furnariidae,Ovenbirds,Passeriformes,SA,,,0
Red-and-yellow Barbet,Trachyphonus erythrocephalus,Lybiidae,African Barbets,Piciformes,AF,,,0
Red-backed Buttonquail,Turnix maculosus,Turnicidae,Buttonquail,Charadriiformes,AU,,,0
Red-backed Fairywren,Malurus melanocephalus,Maluridae,Australasian Wrens,Passeriformes,AU,,,0
Red-backed Flameback,Dinopium psarodes,Picidae,Woodpecker sp.,Piciformes,OR,,,0
Red-backed Kingfisher,Todiramphus pyrrhopygius,Alcedinidae,Kingfisher sp.,Coraciiformes,AU,,,0
Red-backed Mousebird,Colius castanotus,Coliidae,Mousebirds,Coliiformes,AF,,,0
Red-backed Shrike,Lanius collurio,Laniidae,Shrike sp.,Passeriformes,PAL,RBSH,,0
Red-backed Sierra Finch,Idiopsar dorsalis,Thraupidae,Tanagers & Allies,Passeriformes,SA,,,0
Red-backed Thrush,Geokichla erythronota,Turdidae,Thrush sp.,Passeriformes,AU,,,0
Red-banded Flowerpecker,Dicaeum eximium,Dicaeidae,Flowerpeckers,Passeriformes,AU,,,0
Red-banded Fruiteater,Pipreola whitelyi,Cotingidae,Cotingas,Passeriformes,SA,,,0
Red-bearded Bee-eater,Nyctyornis amictus,Meropidae,Bee-eaters,Coraciiformes,OR,,,0
Red-bellied Fruit Dove,Ptilinopus greyi,Columbidae,Pigeon/Dove sp.,Columbiformes,AU,,,0
Red-bellied Grackle,Hypopyrrhus pyrohypogaster,Icteridae,Blackbird/Oriole sp.,Passeriformes,SA,,,0
Red-bellied Macaw,Orthopsittaca manilatus,Psittacidae,Parrot sp.,Psittaciformes,SA,,,0
Red-bellied Malimbe,Malimbus erythrogaster,Ploceidae,"Weavers, Widowbirds",Passeriformes,AF,,,0
Red-bellied Paradise Flycatcher,Terpsiphone rufiventer,Monarchidae,Monarchs,Passeriformes,AF,,,0
Red-bellied Parrot,Poicephalus rufiventris,Psittacidae,Parrot sp.,Psittaciformes,AF,,,0
Red-bellied Woodpecker,Melanerpes carolinus,Picidae,Woodpecker sp.,Piciformes,NA,RBWO,,1
Red-billed Blue Magpie,Urocissa erythroryncha,Corvidae,Corvid sp.,Passeriformes,OR,,,0
Red-billed Brushturkey,Talegalla cuvieri,Megapodiidae,Megapodes,Galliformes,AU,,,0
Red-billed Buffalo Weaver,Bubalornis niger,Ploceidae,"Weavers, Widowbirds",Passeriformes,AF,,,0
Red-billed Chough,Pyrrhocorax pyrrhocorax,Corvidae,Corvid sp.,Passeriformes,PAL,,,0
Red-billed Curassow,Crax blumenbachii,Cracidae,"Chachalacas, Curassows, Guans",Galliformes,SA,,,0
Red-billed Dwarf Hornbill,Lophoceros camurus,Bucerotidae,Hornbills,Bucerotiformes,AF,,,0
Red-billed Emerald,Chlorostilbon gibsoni,Trochilidae,Hummingbird sp.,Apodiformes,SA,,,0
Red-billed Firefinch,Lagonosticta senegala,Estrildidae,Scaly-breasted Munia,Passeriformes,AF,,,0
Red-billed Ground Cuckoo,Neomorphus pucheranii,Cuculidae,Cuckoo/Roadrunner sp.,Cuculiformes,SA,,,0
Red-billed Helmetshrike,Prionops caniceps,Vangidae,Vangas & Allies,Passeriformes,AF,,,0
Red-billed Leiothrix,Leiothrix lutea,Leiothrichidae,Laughingthrushes & Allies,Passeriformes,OR,RBLE,,0
Red-billed Malkoha,Zanclostomus javanicus,Cuculidae,Cuckoo/Roadrunner sp.,Cuculiformes,OR,,,0
Red-billed Oxpecker,Buphagus erythrorynchus,Buphagidae,Oxpeckers,Passeriformes,AF,,,0
Red-billed Parrot,Pionus sordidus,Psittacidae,Parrot sp.,Psittaciformes,SA,,,0
Red-billed Partridge,Arborophila rubrirostris,Phasianidae,Grouse/Pheasant sp.,Galliformes,OR,,,0
Red-billed Pied Tanager,Lamprospiza melanoleuca,Mitrospingidae,Mitrospingid Tanagers,Passeriformes,SA,,,0
Red-billed Pigeon,Patagioenas flavirostris,Columbidae,Pigeon/Dove sp.,Columbiformes,MA,RBPI,,0
Red-billed Pytilia,Pytilia lineata,Estrildidae,Scaly-breasted Munia,Passeriformes,AF,,,0
Red-billed Quelea,Quelea quelea,Ploceidae,"Weavers, Widowbirds",Passeriformes,AF,,,0
Red-billed Scimitar Babbler,Pomatorhinus ochraceiceps,Timaliidae,"Babblers, Scimitar Babblers",Passeriformes,OR,,,0
Red-billed Scythebill,Campylorhamphus trochilirostris,Furnariidae,Ovenbirds,Passeriformes,"MA,SA",RBSC,,0
Red-billed Spurfowl,Pternistis adspersus,Phasianidae,Grouse/Pheasant sp.,Galliformes,AF,,,0
Red-billed Starling,Spodiopsar sericeus,Sturnidae,Starling/Myna sp.,Passeriformes,OR,,,0
Red-billed Streamertail,Trochilus polytmus,Trochilidae,Hummingbird sp.,Apodiformes,NA,RBST,,0
Red-billed Teal,Anas erythrorhyncha,Anatidae,Waterfowl sp.,Anseriformes,AF,,,0
Red-billed Tropicbird,Phaethon aethereus,Phaethontidae,Tropicbirds,Phaethontiformes,TrO,RBTR,,0
Red-billed Tyrannulet,Zimmerius cinereicapilla,Tyrannidae,Flycatcher sp.,Passeriformes,SA,,,0
Red-billed Woodcreeper,Hylexetastes perrotii,Furnariidae,Ovenbirds,Passeriformes,SA,,,0
Red-breasted Chat,Granatellus venustus,Cardinalidae,Cardinal/Grosbeak/Bunting sp.,Passeriformes,MA,RBRC,,0
Red-breasted Coua,Coua serriana,Cuculidae,Cuckoo/Roadrunner sp.,Cuculiformes,AF,,,0
Red-breasted Flycatcher,Ficedula parva,Muscicapidae,"Chats, Old World Flycatchers",Passeriformes,PAL,,,0
Red-breasted Goose,Branta ruficollis,Anatidae,Waterfowl sp.,Anseriformes,PAL,,,0
Red-breasted Meadowlark,Leistes militaris,Icteridae,Blackbird/Oriole sp.,Passeriformes,"MA,SA",RBRM,,0
Red-breasted Merganser,Mergus serrator,Anatidae,Waterfowl sp.,Anseriformes,"NA,PAL",RBME,,1
Red-breasted Nuthatch,Sitta canadensis,Sittidae,Nuthatch sp.,Passeriformes,NA,RBNU,,1
Red-breasted Paradise Kingfisher,Tanysiptera nympha,Alcedinidae,Kingfisher sp.,Coraciiformes,AU,,,0
Red-breasted Parakeet,Psittacula alexandri,Psittaculidae,Old World Parrots,Psittaciformes,OR,,,0
Red-breasted Partridge,Arborophila hyperythra,Phasianidae,Grouse/Pheasant sp.,Galliformes,OR,,,0
Red-breasted Pygmy Parrot,Micropsitta bruijnii,Psittaculidae,Old World Parrots,Psittaciformes,AU,,,0
Red-breasted Sapsucker,Sphyrapicus ruber,Picidae,Woodpecker sp.,Piciformes,NA,RBSA,,1
Red-breasted Swallow,Cecropis semirufa,Hirundinidae,Swallow sp.,Passeriformes,AF,,,0
Red-breasted Toucan,Ramphastos dicolorus,Ramphastidae,Toucans,Piciformes,SA,,,0
Red-browed Amazon,Amazona rhodocorytha,Psittacidae,Parrot sp.,Psittaciformes,SA,,,0
Red-browed Finch,Neochmia temporalis,Estrildidae,Scaly-breasted Munia,Passeriformes,AU,,,0
Red-browed Pardalote,Pardalotus rubricatus,Pardalotidae,Pardalotes,Passeriformes,AU,,,0
Red-browed Treecreeper,Climacteris erythrops,Climacteridae,Australasian Treecreepers,Passeriformes,AU,,,0
Red-capped Cardinal,Paroaria gularis,Thraupidae,Tanagers & Allies,Passeriformes,SA,,,0
Red-capped Coua,Coua ruficeps,Cuculidae,Cuckoo/Roadrunner sp.,Cuculiformes,AF,,,0
Red-capped Crombec,Sylvietta ruficapilla,Macrosphenidae,"Crombecs, African Warblers",Passeriformes,AF,,,0
Red-capped Flowerpecker,Dicaeum geelvinkianum,Dicaeidae,Flowerpeckers,Passeriformes,AU,,,0
Red-capped Forest Warbler,Artisornis metopias,Cisticolidae,Cisticolas & Allies,Passeriformes,AF,,,0
Red-capped Lark,Calandrella cinerea,Alaudidae,Horned Lark,Passeriformes,AF,,,0
Red-capped Manakin,Ceratopipra mentalis,Pipridae,Manakins,Passeriformes,"MA,SA",RCMA,,0
Red-capped Myzomela,Myzomela lafargei,Meliphagidae,Honeyeaters,Passeriformes,AU,,,0
Red-capped Parrot,Purpureicephalus spurius,Psittaculidae,Old World Parrots,Psittaciformes,AU,,,0
