canonical_common_name,scientific_name,family_sci,family_common,order,regions,alpha_4,aliases,is_model_species
Alpine Thrush,Zoothera mollissima,Turdidae,Thrush sp.,Passeriformes,OR,,,0
Alström's Warbler,Phylloscopus soror,Phylloscopidae,Leaf Warblers,Passeriformes,PAL,,,0
Alta Floresta Antpitta,Hylopezus whittakeri,Grallariidae,Antpittas,Passeriformes,SA,,,0
Altai Accentor,Prunella himalayana,Prunellidae,Accentors,Passeriformes,PAL,,,0
Altai Snowcock,Tetraogallus altaicus,Phasianidae,Grouse/Pheasant sp.,Galliformes,PAL,,,0
Altamira Oriole,Icterus gularis,Icteridae,Blackbird/Oriole sp.,Passeriformes,"NA,MA",ALOR,,0
Altamira Yellowthroat,Geothlypis flavovelata,Parulidae,Warbler sp.,Passeriformes,MA,ALYE,,0
Amami Thrush,Zoothera major,Turdidae,Thrush sp.,Passeriformes,PAL,,,0
Amami Woodcock,Scolopax mira,Scolopacidae,Sandpiper sp.,Charadriiformes,PAL,,,0
Amani Sunbird,Hedydipna pallidigaster,Nectariniidae,Sunbirds,Passeriformes,AF,,,0
Amaui,Myadestes woahensis †,Turdidae,Thrush sp.,Passeriformes,PO,AMAU,,0
Amazilia Hummingbird,Amazilis amazilia,Trochilidae,Hummingbird sp.,Apodiformes,SA,AMHU,,0
Amazon Kingfisher,Chloroceryle amazona,Alcedinidae,Kingfisher sp.,Coraciiformes,"MA,SA",AMKI,,0
Amazonian Antpitta,Myrmothera berlepschi,Grallariidae,Antpittas,Passeriformes,SA,,,0
Amazonian Antshrike,Thamnophilus amazonicus,Thamnophilidae,Antbirds,Passeriformes,SA,,,0
Amazonian Barred Woodcreeper,Dendrocolaptes certhia,Furnariidae,Ovenbirds,Passeriformes,SA,,,0
Amazonian Black Tyrant,Knipolegus poecilocercus,Tyrannidae,Flycatcher sp.,Passeriformes,SA,,,0
Amazonian Black-throated Trogon,Trogon rufus,Trogonidae,Trogons,Trogoniformes,SA,,,0
Amazonian Elaenia,Myiopagis cinerea,Tyrannidae,Flycatcher sp.,Passeriformes,SA,,,0
Amazonian Grosbeak,Cyanoloxia rothschildii,Cardinalidae,Cardinal/Grosbeak/Bunting sp.,Passeriformes,SA,,,0
Amazonian Inezia,Inezia subflava,Tyrannidae,Flycatcher sp.,Passeriformes,SA,,,0
Amazonian Motmot,Momotus momota,Momotidae,Motmots,Coraciiformes,SA,,,0
Amazonian Plain Xenops,Xenops genibarbis,Furnariidae,Ovenbirds,Passeriformes,SA,,,0
Amazonian Pygmy Owl,Glaucidium hardyi,Strigidae,Owl sp.,Strigiformes,SA,,,0
Amazonian Scrub Flycatcher,Sublegatus obscurior,Tyrannidae,Flycatcher sp.,Passeriformes,SA,,,0
Amazonian Streaked Antwren,Myrmotherula multostriata,Thamnophilidae,Antbirds,Passeriformes,SA,,,0
Amazonian Trogon,Trogon ramonianus,Trogonidae,Trogons,Trogoniformes,SA,,,0
Amazonian Umbrellabird,Cephalopterus ornatus,Cotingidae,Cotingas,Passeriformes,SA,,,0
Amber Mountain Rock Thrush,Monticola erythronotus,Muscicapidae,"Chats, Old World Flycatchers",Passeriformes,AF,,,0
Ambon White-eye,Zosterops kuehni,Zosteropidae,White-eyes,Passeriformes,AU,,,0
Amboyna Cuckoo-Dove,Macropygia amboinensis,Columbidae,Pigeon/Dove sp.,Columbiformes,AU,,,0
Ameline Swiftlet,Aerodramus amelis,Apodidae,Swift sp.,Apodiformes,OR,,,0
American Avocet,Recurvirostra americana,Recurvirostridae,Stilt/Avocet sp.,Charadriiformes,"NA,MA",AMAV,,1
American Barn Owl,Tyto furcata,Tytonidae,Barn Owl,Strigiformes,"NA,MA,SA",ABOW,,0
American Bittern,Botaurus lentiginosus,Ardeidae,Heron/Egret/Bittern sp.,Pelecaniformes,NA,AMBI,,1
American Black Duck,Anas rubripes,Anatidae,Waterfowl sp.,Anseriformes,NA,ABDU,,1
American Coot,Fulica americana,Rallidae,Rail/Gallinule/Coot sp.,Gruiformes,"NA,MA,SA",AMCO,,1
American Crow,Corvus brachyrhynchos,Corvidae,Corvid sp.,Passeriformes,NA,AMCR,,1
American Dipper,Cinclus mexicanus,Cinclidae,American Dipper,Passeriformes,"NA,MA",AMDI,,1
American Flamingo,Phoenicopterus ruber,Phoenicopteridae,Flamingos,Phoenicopteriformes,"NA,MA,SA",AMFL,,0
American Golden-Plover,Pluvialis dominica,Charadriidae,Plover sp.,Charadriiformes,NA,AMGP,American Golden Plover,1
American Goldfinch,Spinus tristis,Fringillidae,Finch sp.,Passeriformes,"NA,MA",AGOL,,1
American Grey Flycatcher,Empidonax wrightii,Tyrannidae,Flycatcher sp.,Passeriformes,NA,GRFL,,0
American Kestrel,Falco sparverius,Falconidae,Falcon/Caracara sp.,Falconiformes,"NA,MA,SA",AMKE,,1
American Oystercatcher,Haematopus palliatus,Haematopodidae,Oystercatcher sp.,Charadriiformes,"NA,MA,SA",AMOY,,1
American Pipit,Anthus rubescens,Motacillidae,Pipit/Wagtail sp.,Passeriformes,NA,AMPI,,1
American Pygmy Kingfisher,Chloroceryle aenea,Alcedinidae,Kingfisher sp.,Coraciiformes,"MA,SA",APKI,,0
American Redstart,Setophaga ruticilla,Parulidae,Warbler sp.,Passeriformes,NA,AMRE,,1
American Robin,Turdus migratorius,Turdidae,Thrush sp.,Passeriformes,"NA,MA",AMRO,,1
American Three-toed Woodpecker,Picoides dorsalis,Picidae,Woodpecker sp.,Piciformes,NA,ATTW,,1
American Tree Sparrow,Spizelloides arborea,Passerellidae,Sparrow sp.,Passeriformes,NA,ATSP,,1
American White Pelican,Pelecanus erythrorhynchos,Pelecanidae,Pelican sp.,Pelecaniformes,NA,AWPE,,1
American Wigeon,Mareca americana,Anatidae,Waterfowl sp.,Anseriformes,NA,AMWI,,1
American Woodcock,Scolopax minor,Scolopacidae,Sandpiper sp.,Charadriiformes,NA,AMWO,,1
Amethyst Brown Dove,Phapitreron amethystinus,Columbidae,Pigeon/Dove sp.,Columbiformes,OR,,,0
Amethyst Sunbird,Chalcomitra amethystina,Nectariniidae,Sunbirds,Passeriformes,AF,,,0
Amethyst Woodstar,Calliphlox amethystina,Trochilidae,Hummingbird sp.,Apodiformes,SA,,,0
Amethyst-throated Mountaingem,Lampornis amethystinus,Trochilidae,Hummingbird sp.,Apodiformes,MA,ATMG,,0
Amethyst-throated Sunangel,Heliangelus amethysticollis,Trochilidae,Hummingbird sp.,Apodiformes,SA,,,0
Ampay Tapaculo,Scytalopus whitneyi,Rhinocryptidae,Tapaculos,Passeriformes,SA,,,0
Amsterdam Albatross,Diomedea amsterdamensis,Diomedeidae,Albatrosses,Procellariiformes,IO,,,0
Amsterdam Wigeon,Mareca marecula ††,Anatidae,Waterfowl sp.,Anseriformes,IO,,,0
Amur Falcon,Falco amurensis,Falconidae,Falcon/Caracara sp.,Falconiformes,PAL,,,0
Amur Paradise Flycatcher,Terpsiphone incei,Monarchidae,Monarchs,Passeriformes,OR,,,0
Amur Stonechat,Saxicola stejnegeri,Muscicapidae,"Chats, Old World Flycatchers",Passeriformes,PAL,,,0
Anambra Waxbill,Estrilda poliopareia,Estrildidae,Scaly-breasted Munia,Passeriformes,AF,,,0
Ancash Tapaculo,Scytalopus affinis,Rhinocryptidae,Tapaculos,Passeriformes,SA,,,0
Anchieta's Barbet,Stactolaema anchietae,Lybiidae,African Barbets,Piciformes,AF,,,0
Anchieta's Sunbird,Anthreptes anchietae,Nectariniidae,Sunbirds,Passeriformes,AF,,,0
Ancient Antwren,Herpsilochmus gentryi,Thamnophilidae,Antbirds,Passeriformes,SA,,,0
